accused_person_id,case_id,accused_name,gender,age,occupation,is_arrested,is_history_sheeter,address
A000001,CR000001,Daniel Rajan,Male,32,Business,False,False,"H.No. 86, Ravel Marg, Vasai-Virar-496736"
A000002,CR000002,Hritik Bhardwaj,Male,56,Business,True,False,"54/128, Krishna Circle, Bulandshahr-624022"
A000003,CR000003,Netra Sahota,Female,43,Self Employed,True,False,"H.No. 43, Baria Nagar, Kakinada 149744"
A000004,CR000004,Gautam Bhatti,Male,37,Government Employee,True,False,"714, Soni Circle, Kumbakonam 857378"
A000005,CR000005,Banjeet Upadhyay,Male,52,Self Employed,True,False,"H.No. 218, Korpal Path, Amaravati 846493"
A000006,CR000006,Karan Hayre,Male,31,Private Employee,True,False,"86/15, Kar, Thiruvananthapuram 820223"
A000007,CR000007,Yachana Kalita,Female,69,Farmer,True,False,"10, Sane Road, Dindigul 124906"
A000008,CR000008,Rishi Bhakta,Male,34,Business,True,False,"34/04, Gopal Ganj, Kumbakonam-921688"
A000009,CR000009,Anusha Mane,Female,69,Student,False,False,"475, Setty Nagar, Kolkata 633717"
A000010,CR000010,Chakradhar Varughese,Male,30,Farmer,True,False,"89/05, Guha Ganj, Rewa-220007"
A000011,CR000011,Jalsa Rao,Female,60,Mechanic,True,False,"17, Mann Path, Gaya 000828"
A000012,CR000012,Madhavi Bajaj,Female,34,Business,True,False,"85/70, Deol Nagar, Dhule-023930"
A000013,CR000013,Triveni Mammen,Female,36,Driver,True,False,"166, Johal, Noida-352837"
A000014,CR000014,Henry Agate,Male,66,Government Employee,True,False,"H.No. 99, Swamy Path, Kottayam-384425"
A000015,CR000015,Kavya Dewan,Female,20,Self Employed,False,True,"05, Sankaran Path, Gulbarga 603974"
A000016,CR000016,Darpan Kashyap,Male,57,Mechanic,True,False,"H.No. 283, Narasimhan Road, Mau 636909"
A000017,CR000017,Abhimanyu De,Male,20,Farmer,True,False,"12, Dani Street, Delhi-534319"
A000018,CR000018,Nitesh Pandit,Male,41,Business,True,False,"H.No. 716, Badami Chowk, Tadepalligudem 427843"
A000019,CR000019,Tejas Chaudhary,Male,22,Electrician,True,False,"140, Subramanian, Bihar Sharif 146614"
A000020,CR000020,Ansh Sunder,Male,66,Farmer,True,False,"74/763, Prabhu Ganj, Salem-907152"
A000021,CR000021,Upma Chanda,Female,66,Self Employed,True,False,"57/24, Ramesh Ganj, Dharmavaram-437680"
A000022,CR000022,Hredhaan Sandhu,Male,39,Self Employed,True,False,"69/862, Dhaliwal Path, Nandyal 473650"
A000023,CR000023,Waida Walla,Female,65,Business,True,False,"36/40, Wable Circle, Panvel 929367"
A000024,CR000024,Pranav Singhal,Male,36,Private Employee,True,True,"H.No. 98, Agarwal Road, Nagaon-381163"
A000025,CR000025,Januja Comar,Female,35,Driver,True,False,"36/564, Bhardwaj Zila, Gandhinagar-735313"
A000026,CR000026,Ranveer Dar,Male,60,Business,True,False,"85/116, Kashyap Circle, Bathinda-016086"
A000027,CR000027,Arya Apte,Female,34,Electrician,True,False,"H.No. 31, Pandit, Kota 275225"
A000028,CR000028,Anirudh Arya,Male,55,Driver,True,False,"H.No. 06, Bajwa Marg, Patiala 619953"
A000029,CR000029,Hemani Sawhney,Female,53,Driver,True,False,"54, Bava, Meerut 920588"
A000030,CR000030,Nimrat Sarma,Female,70,Electrician,True,False,"565, Bala, Dibrugarh 147005"
A000031,CR000031,Nihal Sekhon,Male,20,Private Employee,False,False,"34, Lala Marg, Bilaspur-922231"
A000032,CR000032,Ira Nagar,Female,34,Private Employee,True,False,"456, Agarwal Circle, Hazaribagh-638644"
A000033,CR000033,Manya Bhavsar,Female,61,Student,True,False,"986, Shroff Path, Jehanabad 588469"
A000034,CR000034,Imaran Jayaraman,Male,31,Student,True,False,"H.No. 03, Dani Marg, Suryapet 897744"
A000035,CR000035,Osha Kumer,Female,27,Electrician,True,False,"H.No. 358, Mutti Path, Ramagundam-757292"
A000036,CR000036,Yadavi Vohra,Female,20,Government Employee,True,False,"42/013, Nazareth Ganj, Patiala 105562"
A000037,CR000037,Raghav Garg,Male,18,Labourer,True,False,"962, Dubey Street, Anantapur-826377"
A000038,CR000038,Priya Jain,Female,36,Driver,False,False,"77/449, Sarna Nagar, Srinagar 677031"
A000039,CR000039,Indira Shere,Female,36,Driver,True,False,"H.No. 45, Sandhu Road, Jalandhar-863316"
A000040,CR000040,Nidra Bava,Female,23,Student,True,False,"H.No. 638, Gandhi Nagar, Junagadh 483291"
A000041,CR000041,Leela Parsa,Female,18,Mechanic,False,False,"H.No. 948, Nair Zila, Haridwar 113133"
A000042,CR000042,Yug Gaba,Male,69,Self Employed,True,False,"12, Bhalla Path, Bhatpara-563036"
A000043,CR000043,Om Sundaram,Male,30,Driver,False,False,"H.No. 38, Sastry Circle, Jalandhar 436430"
A000044,CR000044,Niharika Mahajan,Female,68,Mechanic,True,False,"30, Dar Circle, Ghaziabad-636086"
A000045,CR000045,Utkarsh Kulkarni,Male,29,Farmer,False,False,"H.No. 81, Ratti, Korba-625935"
A000046,CR000046,Fiyaz Kaur,Male,30,Farmer,True,False,"51/550, Bakshi Path, Salem-460089"
A000047,CR000047,Tarak Sule,Male,38,Electrician,True,False,"08/643, Sankaran Path, Visakhapatnam-934412"
A000048,CR000048,Advay Narayan,Male,52,Government Employee,True,False,"27/308, Lala Nagar, Machilipatnam 341326"
A000049,CR000049,Jacob Bath,Male,49,Self Employed,False,False,"H.No. 978, Ranganathan Street, Pune 588210"
A000050,CR000050,Chandran Butala,Male,56,Mechanic,False,False,"88/97, Sunder Marg, Kavali-179700"
A000051,CR000051,Yuvraj Keer,Male,37,Labourer,False,False,"73/038, Dhar Road, Bulandshahr 665364"
A000052,CR000052,Udarsh Lal,Male,22,Mechanic,True,False,"H.No. 039, Dar Path, Chandigarh 114808"
A000053,CR000053,Jai Mody,Male,32,Driver,False,False,"49, Reddy Circle, Indore-558577"
A000054,CR000054,Jagdish Saini,Male,22,Driver,True,False,"25/619, Seth Nagar, Karawal Nagar-667183"
A000055,CR000055,Harinakshi Chakraborty,Female,50,Private Employee,True,False,"91/690, Kadakia Path, Berhampur-216813"
A000056,CR000056,Warhi Deshmukh,Female,19,Labourer,True,False,"390, Vasa Circle, Alappuzha-431471"
A000057,CR000057,Nidra Dave,Female,22,Electrician,True,False,"H.No. 79, Yadav Ganj, Rajkot-148431"
A000058,CR000058,Chandresh Chahal,Male,46,Private Employee,False,False,"H.No. 51, Nagy Road, Bhilai-926834"
A000059,CR000059,Zansi Barad,Female,31,Student,True,False,"56/13, Oak Nagar, Chennai-946658"
A000060,CR000060,Qasim Kaul,Male,68,Driver,True,False,"H.No. 81, Sankar Road, Jaunpur 478545"
A000061,CR000061,Reyansh Bal,Male,24,Self Employed,False,False,"18/20, Murty Zila, Ichalkaranji 390893"
A000062,CR000062,Vasatika Nadkarni,Female,50,Business,True,False,"H.No. 74, Kalita Marg, Bhusawal-332738"
A000063,CR000063,Bhavini Warrior,Female,27,Business,True,False,"08/149, Palan Marg, Anantapuram 897843"
A000064,CR000064,Omkaar Bala,Male,64,Private Employee,True,False,"66, Prabhakar Ganj, Tadipatri 894485"
A000065,CR000065,Amol Basak,Male,21,Electrician,True,False,"H.No. 352, Divan Circle, Sasaram-030305"
A000066,CR000066,Logan Banerjee,Male,45,Government Employee,False,False,"88/107, Madan Marg, Sagar-014201"
