complainant_id,case_id,complainant_name,gender,age,occupation,religion,caste,mobile_number,address
CMP000001,CR000001,Hardik Palan,Male,72,Business,Jain,ST,8979732156,"72/917, Memon Marg, Tinsukia-658323"
CMP000002,CR000002,Jacob Saha,Male,68,Business,Jain,ST,9839560869,"51/641, Wagle Chowk, Khammam-475155"
CMP000003,CR000003,Bhanumati Warrior,Female,64,Student,Sikh,SC,3865551671,"86, Subramaniam Marg, Miryalaguda 558227"
CMP000004,CR000004,Anika Chhabra,Female,63,Government Employee,Sikh,SC,5902504912,"04/83, Mahal Nagar, Ozhukarai-087854"
CMP000005,CR000005,Aryan Choudhury,Male,50,Student,Christian,OBC,1223718066,"94/44, Gopal Street, Silchar-167874"
CMP000006,CR000006,Mitesh Balan,Male,43,Business,Muslim,General,6568632334,"64, Oak Marg, Karaikudi-504692"
CMP000007,CR000007,Ishwar Batra,Male,29,Business,Muslim,SC,2407791750,"65/63, Sanghvi Road, Gudivada 751454"
CMP000008,CR000008,Krishna Natt,Male,39,Student,Sikh,OBC,8666933345,"27/760, Parmer Chowk, Kishanganj-700591"
CMP000009,CR000009,Hemal Varty,Female,57,Business,Sikh,OBC,7737763447,"H.No. 104, Tak Path, Suryapet 475047"
CMP000010,CR000010,Joshua Dube,Male,55,Farmer,Christian,General,9874549532,"787, Chaudhari Nagar, Phagwara 141556"
CMP000011,CR000011,Ronith Venkataraman,Male,60,Retired,Sikh,General,0205039791,"89, Krishnan Street, Bangalore-759368"
CMP000012,CR000012,Raghav Sethi,Male,22,Private Employee,Hindu,General,8729114318,"84, Samra, Siliguri 965381"
CMP000013,CR000013,Amaira Shanker,Female,55,Driver,Christian,ST,4033069561,"198, Narayan Circle, Durg 421295"
CMP000014,CR000014,Anirudh Sharma,Male,28,Labourer,Muslim,SC,1814578699,"58/965, Chada Road, Tiruvottiyur-519220"
CMP000015,CR000015,Finn Suresh,Male,53,Driver,Hindu,ST,0745286718,"88/45, Pandey Zila, Alwar 276744"
CMP000016,CR000016,Dalbir Ramesh,Male,25,Farmer,Christian,SC,2895644512,"461, Mangal Ganj, Phusro-549752"
CMP000017,CR000017,Nitesh Chandran,Male,51,Private Employee,Sikh,OBC,4499212504,"H.No. 50, Khare Chowk, Dindigul 522490"
CMP000018,CR000018,Vedant Sami,Male,19,Student,Sikh,OBC,3523831295,"H.No. 946, Chahal Marg, Howrah-740795"
CMP000019,CR000019,Jagdish Krish,Male,48,Driver,Sikh,SC,7656738947,"21/723, Ranganathan Marg, Nagpur-554090"
CMP000020,CR000020,Yashoda Chaudry,Female,41,Labourer,Jain,SC,6064518842,"61/08, Sandal Path, Sagar 633716"
CMP000021,CR000021,Lekha Jayaraman,Female,44,Labourer,Muslim,OBC,5359663459,"79/97, Nagi Circle, Khammam-239785"
CMP000022,CR000022,Aadhya Dani,Female,72,Driver,Hindu,ST,4854989302,"H.No. 240, Ramachandran Chowk, Ambarnath-052637"
CMP000023,CR000023,Ayaan Parekh,Male,40,Homemaker,Jain,ST,2900720249,"00/841, Mammen Path, Gurgaon-227020"
CMP000024,CR000024,Upasna Chatterjee,Female,24,Farmer,Sikh,General,6184338888,"H.No. 31, Lad Ganj, Muzaffarnagar-082798"
CMP000025,CR000025,Amara Sarin,Female,26,Student,Muslim,OBC,0055368580,"83/692, Chaudry Marg, Chandigarh 834481"
CMP000026,CR000026,Qasim Hora,Male,65,Farmer,Sikh,OBC,5618816379,"H.No. 55, Sunder Zila, Sasaram-350730"
CMP000027,CR000027,Adweta Dayal,Female,39,Retired,Jain,OBC,3341176182,"H.No. 277, Kata Nagar, Malda 508110"
CMP000028,CR000028,Nathan Borah,Male,29,Homemaker,Hindu,General,0365488659,"071, Kunda Ganj, Madurai 512768"
CMP000029,CR000029,Zarna Gupta,Female,20,Private Employee,Hindu,ST,0267803614,"H.No. 281, Chauhan Path, Raichur 773306"
CMP000030,CR000030,Chakradhar Mohanty,Male,40,Student,Muslim,ST,9349853023,"025, Mannan Circle, Hospet-788862"
CMP000031,CR000031,Ekiya Seshadri,Female,35,Farmer,Christian,General,4149115917,"43/042, Sule Nagar, Indore 464650"
CMP000032,CR000032,Faraj Bains,Male,63,Driver,Muslim,SC,1606528171,"00, Rao Chowk, Phusro-764915"
CMP000033,CR000033,Benjamin Narang,Male,50,Government Employee,Jain,OBC,6657204470,"H.No. 092, Mammen Ganj, Mysore 709699"
CMP000034,CR000034,Tanish Wali,Male,44,Farmer,Hindu,General,6627325026,"72, Kuruvilla, Berhampore 432409"
CMP000035,CR000035,Henry Oza,Male,73,Labourer,Muslim,General,4715972668,"462, Dubey Zila, Bhimavaram-621617"
CMP000036,CR000036,Forum Garg,Female,46,Driver,Sikh,General,0708400356,"H.No. 79, Goel Ganj, Dehradun-530205"
CMP000037,CR000037,Hemal Datta,Female,56,Labourer,Hindu,SC,2652416772,"409, Sarma Path, Dibrugarh-528706"
CMP000038,CR000038,Joshua Contractor,Male,38,Driver,Hindu,General,4115849432,"913, Chatterjee Road, Madurai 781642"
CMP000039,CR000039,Kavya Baral,Female,47,Self Employed,Christian,SC,8466015695,"34/03, Pant Marg, Raebareli-738228"
CMP000040,CR000040,Aarna Uppal,Female,50,Labourer,Sikh,General,8271646414,"16, Chad Ganj, Tinsukia 016687"
CMP000041,CR000041,Nitesh Sarin,Male,21,Homemaker,Hindu,OBC,0582580081,"H.No. 124, Bhalla Chowk, Lucknow-173980"
CMP000042,CR000042,Orinder Master,Male,70,Business,Christian,General,6223304379,"39, Dhillon Marg, Chinsurah-588581"
CMP000043,CR000043,Naksh Sarna,Male,69,Government Employee,Hindu,SC,3701945959,"H.No. 113, Walia Circle, Parbhani 868467"
CMP000044,CR000044,Logan Kari,Male,37,Government Employee,Muslim,ST,2676026986,"93/05, Krishna, Bhusawal-583955"
CMP000045,CR000045,Urishilla Patil,Female,71,Business,Muslim,ST,0730740107,"58/73, Khurana Circle, Ratlam 678922"
CMP000046,CR000046,Brijesh Das,Male,18,Self Employed,Sikh,General,3289118523,"H.No. 79, Grover Marg, Bally-350102"
CMP000047,CR000047,Michael Pradhan,Male,73,Labourer,Muslim,General,7020992691,"082, Jaggi Marg, Pudukkottai 804715"
CMP000048,CR000048,Sai Gade,Female,19,Student,Jain,ST,4989469782,"76/08, Bhatia Path, Hospet 948737"
CMP000049,CR000049,Kavya Shan,Female,38,Government Employee,Jain,OBC,7599107691,"67, Nadig Marg, Rourkela-058426"
CMP000050,CR000050,Aashi Goswami,Female,26,Student,Christian,General,4888726537,"04/129, Krishnamurthy Nagar, Jamnagar 909479"
CMP000051,CR000051,Madhavi Manne,Female,18,Labourer,Hindu,ST,3219149001,"36/936, Mandal Nagar, Hospet-425726"
CMP000052,CR000052,Jagvi Nayar,Female,37,Business,Jain,ST,9215359575,"42/42, Jhaveri Nagar, Nagaon 370040"
CMP000053,CR000053,Indira Memon,Female,28,Business,Jain,ST,5125652645,"06/894, Arya Circle, Bhopal-705157"
CMP000054,CR000054,Barkha Nagarajan,Female,60,Government Employee,Hindu,General,0522069488,"05/86, Gola Circle, Meerut 418385"
CMP000055,CR000055,Isha Sarraf,Female,34,Student,Jain,SC,6884768828,"H.No. 788, Anne Street, Fatehpur-242624"
CMP000056,CR000056,Mekhala Gulati,Female,74,Retired,Christian,General,1598021182,"960, Sibal Ganj, Serampore-441401"
CMP000057,CR000057,Vidhi Dubey,Female,54,Homemaker,Muslim,ST,8313117152,"H.No. 549, Garg Street, Shimla 108773"
CMP000058,CR000058,Ganga Sani,Female,47,Self Employed,Jain,General,6884212378,"H.No. 66, Solanki Chowk, Mahbubnagar 573013"
