employee_id,kgid,employee_name,gender,date_of_birth,blood_group,rank,rank_code,appointment_date,district,taluk,police_station_name,police_station_id
EMP000001,940593,Advik Mammen,Male,1991-07-18,O+,Police Constable,PC,2024-05-03,Bagalkote,Guledgudda,Banahatti PS,BANAHATTI_PS
EMP000002,484757,Anita Kumar,Female,2001-06-28,B-,Police Sub Inspector,PSI,2004-07-19,Bagalkote,Guledgudda,Banahatti PS,BANAHATTI_PS
EMP000003,230684,Quincy Sha,Male,1974-11-21,B+,Police Constable,PC,2017-01-23,Bagalkote,Guledgudda,Banahatti PS,BANAHATTI_PS
EMP000004,881640,Dayita Parmar,Female,1991-06-02,AB-,Inspector General of Police,IGP,2005-05-19,Bagalkote,Guledgudda,Banahatti PS,BANAHATTI_PS
EMP000005,589595,Ekalinga Tella,Male,1997-07-04,O-,Additional Director General of Police,ADGP,2010-11-24,Bagalkote,Guledgudda,Banahatti PS,BANAHATTI_PS
EMP000006,114622,Sai Johal,Male,2002-06-22,B+,Deputy Superintendent of Police,DySP,2009-09-23,Bagalkote,Guledgudda,Banahatti PS,BANAHATTI_PS
EMP000007,800681,Ryan Kurian,Female,1976-09-19,A-,Police Sub Inspector,PSI,2005-12-07,Bagalkote,Guledgudda,Banahatti PS,BANAHATTI_PS
EMP000008,158348,Zinal Choudhary,Female,1995-07-13,A+,Police Constable,PC,2023-07-02,Bagalkote,Guledgudda,Banahatti PS,BANAHATTI_PS
EMP000009,916621,Joshua Buch,Male,1977-12-04,AB+,Police Constable,PC,2015-09-02,Bagalkote,Guledgudda,Banahatti PS,BANAHATTI_PS
EMP000010,497955,Hardik Chaudhuri,Male,1992-07-21,O+,Assistant Sub Inspector,ASI,1999-04-29,Bagalkote,Guledgudda,Banahatti PS,BANAHATTI_PS
EMP000011,240949,Aarush Ahuja,Female,1988-01-06,AB-,Assistant Sub Inspector,ASI,2019-09-08,Bagalkote,Guledgudda,Banahatti PS,BANAHATTI_PS
EMP000012,136505,Isha Shah,Female,1995-11-21,A+,Police Constable,PC,2024-09-23,Bagalkote,Guledgudda,Banahatti PS,BANAHATTI_PS
EMP000013,142371,Bina Narayan,Male,1998-10-28,AB-,Police Constable,PC,2001-12-29,Bagalkote,Guledgudda,Banahatti PS,BANAHATTI_PS
EMP000014,948524,Siya Tandon,Female,1987-05-29,B+,Head Constable,HC,2004-07-03,Bagalkote,Guledgudda,Banahatti PS,BANAHATTI_PS
EMP000015,295532,Alexander Kala,Female,1989-01-27,O-,Police Constable,PC,2008-12-30,Bagalkote,Guledgudda,Banahatti PS,BANAHATTI_PS
EMP000016,513829,Xavier Dua,Male,1998-04-14,A-,Head Constable,HC,2023-08-27,Bagalkote,Guledgudda,Banahatti PS,BANAHATTI_PS
EMP000017,725182,Anthony Rama,Male,2002-01-28,O+,Superintendent of Police,SP,2024-04-04,Bagalkote,Guledgudda,Banahatti PS,BANAHATTI_PS
EMP000018,952228,Rachit Parmar,Female,1983-05-19,A+,Deputy Superintendent of Police,DySP,2025-07-07,Bagalkote,Badami,Kerur PS,KERUR_PS
EMP000019,518664,Harini Saxena,Male,1969-01-16,AB+,Police Sub Inspector,PSI,2019-04-30,Bagalkote,Badami,Kerur PS,KERUR_PS
EMP000020,812725,Nathan Dave,Male,2000-07-24,O+,Deputy Superintendent of Police,DySP,2020-11-23,Bagalkote,Badami,Kerur PS,KERUR_PS
EMP000021,989388,Sai Gulati,Female,2001-10-08,AB+,Inspector General of Police,IGP,2005-03-31,Bagalkote,Badami,Kerur PS,KERUR_PS
EMP000022,380085,Vansha Raj,Male,1996-02-26,A+,Deputy Inspector General of Police,DIG,2023-11-30,Bagalkote,Badami,Kerur PS,KERUR_PS
EMP000023,448803,Luke Samra,Male,1999-09-12,AB+,Police Constable,PC,2016-11-06,Bagalkote,Badami,Kerur PS,KERUR_PS
EMP000024,287645,Urvashi Raju,Female,1989-06-26,A+,Head Constable,HC,2003-07-20,Bagalkote,Badami,Kerur PS,KERUR_PS
EMP000025,560619,Manan Luthra,Male,1972-02-25,A+,Police Sub Inspector,PSI,2018-03-19,Bagalkote,Badami,Kerur PS,KERUR_PS
EMP000026,538342,Chatresh Panchal,Male,1997-02-18,AB-,Assistant Sub Inspector,ASI,2010-06-29,Bagalkote,Badami,Kerur PS,KERUR_PS
EMP000027,991617,Idika Tata,Female,1973-01-13,B-,Police Constable,PC,2010-05-29,Bagalkote,Badami,Kerur PS,KERUR_PS
EMP000028,705404,Amrita Rai,Female,1978-12-24,B-,Head Constable,HC,2017-03-09,Bagalkote,Mudhol,Ilakal Rural PS,ILAKAL_RURAL_PS
EMP000029,391539,Qushi Pau,Male,1993-01-23,A-,Police Inspector,PI,2017-02-16,Bagalkote,Mudhol,Ilakal Rural PS,ILAKAL_RURAL_PS
EMP000030,110871,Lohit Gole,Male,1981-10-04,O+,Police Constable,PC,1998-08-15,Bagalkote,Mudhol,Ilakal Rural PS,ILAKAL_RURAL_PS
EMP000031,648899,Unnati Narula,Male,1984-11-25,B-,Police Inspector,PI,1997-04-07,Bagalkote,Mudhol,Ilakal Rural PS,ILAKAL_RURAL_PS
EMP000032,354638,Panini Mand,Male,1995-09-18,O-,Police Constable,PC,2008-01-18,Bagalkote,Mudhol,Ilakal Rural PS,ILAKAL_RURAL_PS
EMP000033,259990,Pushti Srinivasan,Female,1991-05-29,O-,Assistant Sub Inspector,ASI,2009-06-28,Bagalkote,Mudhol,Ilakal Rural PS,ILAKAL_RURAL_PS
EMP000034,511157,Advaith Banerjee,Female,1985-01-15,O-,Assistant Sub Inspector,ASI,2003-07-27,Bagalkote,Mudhol,Ilakal Rural PS,ILAKAL_RURAL_PS
EMP000035,637652,Maya Goswami,Female,1984-05-20,AB+,Head Constable,HC,2003-10-14,Bagalkote,Mudhol,Ilakal Rural PS,ILAKAL_RURAL_PS
EMP000036,782622,Lucky Samra,Male,1995-04-06,B-,Police Constable,PC,2002-01-05,Bagalkote,Mudhol,Ilakal Rural PS,ILAKAL_RURAL_PS
EMP000037,632404,Harinakshi Rattan,Female,1985-09-21,A-,Assistant Sub Inspector,ASI,1996-07-10,Bagalkote,Hungund,Badami PS,BADAMI_PS
EMP000038,337641,Aayush Saini,Female,2000-12-25,A-,Head Constable,HC,2002-04-13,Bagalkote,Hungund,Badami PS,BADAMI_PS
EMP000039,500981,Zansi Ravel,Male,1986-08-25,AB+,Head Constable,HC,2010-06-19,Bagalkote,Hungund,Badami PS,BADAMI_PS
EMP000040,202777,Rajata Sibal,Male,1973-07-13,AB+,Police Inspector,PI,2014-07-18,Bagalkote,Hungund,Badami PS,BADAMI_PS
EMP000041,825165,Lajita Bhasin,Male,1992-09-16,B+,Police Constable,PC,2004-10-14,Bagalkote,Hungund,Badami PS,BADAMI_PS
EMP000042,918506,Avni Koshy,Male,1985-10-11,A+,Police Sub Inspector,PSI,2003-04-05,Bagalkote,Hungund,Badami PS,BADAMI_PS
EMP000043,279861,Barkha Johal,Male,1986-03-29,O+,Head Constable,HC,2014-07-15,Bagalkote,Hungund,Badami PS,BADAMI_PS
EMP000044,177459,Sara Krishna,Female,1988-01-02,AB-,Deputy Superintendent of Police,DySP,2005-06-10,Bagalkote,Hungund,Badami PS,BADAMI_PS
EMP000045,400812,Zashil Chadha,Female,1971-11-16,A-,Police Constable,PC,2002-10-24,Bagalkote,Hungund,Badami PS,BADAMI_PS
EMP000046,591074,Amruta Narula,Female,1990-05-18,O+,Police Sub Inspector,PSI,2017-08-03,Bagalkote,Hungund,Badami PS,BADAMI_PS
EMP000047,598568,Triveni Jhaveri,Female,1998-09-27,B+,Police Constable,PC,2023-02-26,Bagalkote,Hungund,Badami PS,BADAMI_PS
EMP000048,885563,Upma Barman,Male,1969-08-16,A-,Head Constable,HC,2018-11-04,Bagalkote,Hungund,Badami PS,BADAMI_PS
EMP000049,348819,Vanya Soman,Male,1978-09-19,O-,Police Constable,PC,2002-06-23,Bagalkote,Hungund,Badami PS,BADAMI_PS
EMP000050,452433,Darpan Gandhi,Female,1979-10-12,AB+,Police Constable,PC,2018-12-12,Bagalkote,Hungund,Badami PS,BADAMI_PS
EMP000051,827017,Nisha Chanda,Female,1978-12-15,A+,Police Constable,PC,2025-01-11,Bagalkote,Bagalkot,Hungunda PS,HUNGUNDA_PS
EMP000052,304529,Liam Pai,Female,1998-12-10,B-,Police Constable,PC,2001-01-28,Bagalkote,Bagalkot,Hungunda PS,HUNGUNDA_PS
EMP000053,799711,Xavier Muni,Male,1974-02-19,O+,Police Constable,PC,2000-03-10,Bagalkote,Bagalkot,Hungunda PS,HUNGUNDA_PS
EMP000054,705071,Chasmum Varghese,Female,1993-08-27,AB+,Assistant Sub Inspector,ASI,2018-05-17,Bagalkote,Bagalkot,Hungunda PS,HUNGUNDA_PS
EMP000055,904047,Amrita Pall,Male,1987-03-23,AB-,Police Constable,PC,2023-10-05,Bagalkote,Bagalkot,Hungunda PS,HUNGUNDA_PS
EMP000056,701114,Gautami Patla,Male,1986-08-08,O-,Police Constable,PC,2021-05-30,Bagalkote,Bagalkot,Hungunda PS,HUNGUNDA_PS
EMP000057,206570,Manthan Sharma,Male,1973-03-23,AB+,Police Constable,PC,2013-03-15,Bagalkote,Bagalkot,Hungunda PS,HUNGUNDA_PS
EMP000058,402636,Lakshmi Pillai,Female,1990-05-26,A+,Police Sub Inspector,PSI,2006-12-05,Bagalkote,Bagalkot,Hungunda PS,HUNGUNDA_PS
EMP000059,575949,Nakul Manda,Male,1998-03-21,AB-,Head Constable,HC,2000-09-30,Bagalkote,Bagalkot,Hungunda PS,HUNGUNDA_PS
EMP000060,793197,Raagini Manda,Female,1981-04-13,A-,Police Constable,PC,2024-05-27,Bagalkote,Bagalkot,Hungunda PS,HUNGUNDA_PS
EMP000061,397915,Charles Roy,Male,2004-02-26,AB-,Deputy Superintendent of Police,DySP,2009-10-09,Bagalkote,Bagalkot,Hungunda PS,HUNGUNDA_PS
EMP000062,959297,Yashica Sangha,Female,1971-09-03,A+,Head Constable,HC,2015-09-18,Bagalkote,Bagalkot,Hungunda PS,HUNGUNDA_PS
EMP000063,864127,Siya Bath,Male,1975-04-06,B-,Assistant Sub Inspector,ASI,2004-06-12,Bagalkote,Bagalkot,Hungunda PS,HUNGUNDA_PS
EMP000064,298265,Bhavini Loyal,Female,1991-04-13,O-,Police Sub Inspector,PSI,2016-03-30,Bagalkote,Bagalkot,Hungunda PS,HUNGUNDA_PS
EMP000065,227282,Ayushman Devi,Female,1971-09-01,O+,Police Sub Inspector,PSI,2022-06-30,Bagalkote,Bagalkot,Hungunda PS,HUNGUNDA_PS
EMP000066,996709,Ganga Chakraborty,Male,1992-05-31,O+,Additional Superintendent of Police,Addl. SP,2025-06-06,Bagalkote,Bilgi,Bagalkot Women PS,BAGALKOT_WOMEN_PS
EMP000067,828866,Hitesh Bhatt,Male,1992-06-10,AB+,Assistant Sub Inspector,ASI,2017-06-16,Bagalkote,Bilgi,Bagalkot Women PS,BAGALKOT_WOMEN_PS
EMP000068,522662,Nitara Prabhu,Male,1997-09-26,B-,Police Inspector,PI,2021-06-27,Bagalkote,Bilgi,Bagalkot Women PS,BAGALKOT_WOMEN_PS
EMP000069,268234,Chandani Nagarajan,Female,1975-10-29,A-,Police Constable,PC,2001-05-20,Bagalkote,Bilgi,Bagalkot Women PS,BAGALKOT_WOMEN_PS
EMP000070,539698,Karan Purohit,Female,1999-05-23,AB+,Police Constable,PC,2014-10-16,Bagalkote,Bilgi,Bagalkot Women PS,BAGALKOT_WOMEN_PS
EMP000071,719049,Warda Butala,Female,1988-01-02,AB+,Assistant Sub Inspector,ASI,2023-01-20,Bagalkote,Bilgi,Bagalkot Women PS,BAGALKOT_WOMEN_PS
