victim_id,case_id,victim_name,gender,age,occupation,injury_type,relationship_to_accused,address
VICT000001,CR000001,Henry Kashyap,Male,71,Government Employee,Serious,Unknown,"56/102, Dube Road, Dewas-611648"
VICT000002,CR000002,Neelima Desai,Other,18,Private Employee,Minor,Neighbour,"H.No. 476, Bumb Road, Vijayanagaram 716041"
VICT000003,CR000002,Edhitha Sule,Female,63,Driver,Serious,Friend,"54/50, Ratta Path, Surat-672621"
VICT000004,CR000003,Laban Ratti,Male,28,Farmer,Fatal,Friend,"77, Sharma Marg, Tadipatri 254940"
VICT000005,CR000004,Dayamai Parikh,Female,8,Driver,Serious,Family,"18/29, Handa Nagar, Jammu-507317"
VICT000006,CR000005,Peter Dave,Male,47,Private Employee,None,Colleague,"11, Goda Zila, Serampore 607490"
VICT000007,CR000006,Dayamai Morar,Female,19,Student,None,Stranger,"H.No. 913, Subramanian Road, Motihari 406082"
VICT000008,CR000007,Owen Sarkar,Male,37,Retired,Minor,Stranger,"48/82, Menon Nagar, Madanapalle 889150"
VICT000009,CR000008,Quincy Mody,Male,42,Labourer,Serious,Neighbour,"23, Narasimhan Nagar, Aizawl-904120"
VICT000010,CR000009,Waida Rau,Female,53,Farmer,Serious,Colleague,"H.No. 87, Sarin Path, Bihar Sharif-656867"
VICT000011,CR000010,Siddharth Pillai,Male,37,Labourer,None,Friend,"90/641, Mukhopadhyay Zila, Durg 075081"
VICT000012,CR000011,Fariq Narula,Other,18,Self Employed,Minor,Stranger,"609, Shanker Path, Vasai-Virar 008980"
VICT000013,CR000012,Samaksh Atwal,Male,37,Farmer,Minor,Colleague,"06, Agrawal Path, Nagercoil-248417"
VICT000014,CR000013,Omaja Khanna,Other,30,Labourer,None,Unknown,"H.No. 066, Wable Marg, Ramgarh-635354"
VICT000015,CR000014,Watika Saraf,Female,29,Unemployed,None,Colleague,"H.No. 777, Bhat Street, Satna-860437"
VICT000016,CR000015,Leena Gopal,Female,20,Labourer,None,Unknown,"95/790, Kala, Machilipatnam-890207"
VICT000017,CR000016,Dipta Subramanian,Other,45,Unemployed,Fatal,Stranger,"H.No. 705, Gaba Nagar, Navi Mumbai 886334"
VICT000018,CR000017,Advika Sur,Female,79,Labourer,None,Colleague,"H.No. 880, Vohra Street, Moradabad-340495"
VICT000019,CR000017,Logan Deo,Other,2,Housewife,None,Stranger,"65/807, Dutt Zila, Kanpur 125216"
VICT000020,CR000018,Ekapad Ravi,Male,38,Retired,None,Unknown,"43, Murthy Circle, Kakinada-718334"
